artist,name,id,url,date_added
Atif Aslam,Piya O Re Piya,5a11x5PUFvJEadMRqtNtTr,https://i.scdn.co/image/ab67616d00001e029546c25ac50268b2b74842e7,2025-01-10 00:55:31+00:00
Amaal Mallik,"Chale Aana (From ""De De Pyaar De"")",6vuMdb0E8buJeSHArN3dXk,https://i.scdn.co/image/ab67616d00001e027d8baa691435a7588fe4ab57,2025-01-10 00:49:26+00:00
Pritam,Teri Jhuki Nazar,3beYHVCFKzbdNjJqjKeYpM,https://i.scdn.co/image/ab67616d00001e02947e9127982f21bf5504e1f8,2025-01-09 17:07:54+00:00
Armaan Malik,Jab Tak,35RWttZt8zGGzT0mWtlXpn,https://i.scdn.co/image/ab67616d00001e0202dde7bfff94df00c8b76eb4,2025-01-09 17:07:42+00:00
Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,https://i.scdn.co/image/ab67616d00001e0213b3e37318a0c247b550bccd,2025-01-09 17:05:47+00:00
Javed Ali,Guzarish,2MvCNH9ua0CeOgUQfZf56z,https://i.scdn.co/image/ab67616d00001e025b7ba7da308af447f48b9943,2025-01-09 17:05:35+00:00
Pritam,Tune Jo Na Kaha,0pw3p4gf5homOkvOGOJulF,https://i.scdn.co/image/ab67616d00001e02d567bc615d8d891d112c8a35,2025-01-09 17:05:29+00:00
Vishal-Shekhar,Ajab Si,5FXMRdJjKq1BIX4e8Eg9mK,https://i.scdn.co/image/ab67616d00001e02675b3f7dea80153c73581e5e,2025-01-09 17:04:52+00:00
Jeet Gannguli,Baatein Ye Kabhi Na - Male,0PxMHdQ6bSz9q0eJj3kJzb,https://i.scdn.co/image/ab67616d00001e028d07544fddf5b7d9a1e41554,2025-01-09 17:03:57+00:00
Atif Aslam,Mar Jaayen,1ZGZsRhYm4XEU7ZWhYBxJA,https://i.scdn.co/image/ab67616d00001e02358d1a601377d7e54fd05edc,2025-01-09 17:02:59+00:00
Pritam,I Am In Love,3FS3ItpUATpALLi90uvkde,https://i.scdn.co/image/ab67616d00001e02df934f4de5f8dd46f8d75f5f,2024-03-04 04:52:32+00:00
Jeet Gannguli,Khamoshiyan,6zCQF5tu7HVwU9shhKqiuF,https://i.scdn.co/image/ab67616d00001e028d07544fddf5b7d9a1e41554,2023-07-01 21:08:55+00:00
Arijit Singh,Kabhi Jo Baadal Barse,3MVPReTwLNOBFb6KjiIRNM,https://i.scdn.co/image/ab67616d00001e0234bb47a8b7da4bcb773400a1,2023-07-01 21:08:40+00:00
Pritam,Jiyein Kyun,0up9rhm9qt2LW7cnoDFCMk,https://i.scdn.co/image/ab67616d00001e02e39388ba8eadf58476135087,2022-12-22 06:00:19+00:00
Anuv Jain,Baarishein,5iCY0TXNImK4hyKfcplQsg,https://i.scdn.co/image/ab67616d00001e0261694f071d402a10931d671e,2022-12-22 06:00:10+00:00
Pritam,"Raabta (Title Track) [From ""Raabta""]",4e9dIemIXO8Tzg0k4aWujk,https://i.scdn.co/image/ab67616d00001e021bcc10d3bd1d77d7c3f164c6,2022-12-22 05:59:01+00:00
Amaal Mallik,Soch Na Sake,6mTvwBzWTGDOVeCNQEqtOE,https://i.scdn.co/image/ab67616d00001e026b047c1401c8c18a54e4377d,2022-12-22 05:58:49+00:00
Pritam,"Ik Vaari Aa (From ""Raabta"")",5lrA2NzUxmBjKr2tCZfMtl,https://i.scdn.co/image/ab67616d00001e02ece89c7bf7d8141a1e8eef42,2022-12-22 05:58:43+00:00
Armaan Malik,"Tere Mere (From ""Chef"")",4lBO4Q7Pa816Mk3ptYcYUz,https://i.scdn.co/image/ab67616d00001e02aa9a6120d2fb0ed0f4ce6cda,2022-12-22 05:58:36+00:00
